NUMBER,CODE,SERIAL,NAME,TYPE1,TYPE2,COLOR,ABILITY1,ABILITY2,ABILITY HIDDEN,GENERATION,LEGENDARY_FLAG,MEGA_EVOLUTION_FLAG,HEIGHT,WEIGHT,HP,ATK,DEF,SP_ATK,SP_DEF,SPD,TOTAL,CAPTURE_RATE,BASE_EGG_HATCH_CYCLE,BASE_EGG_HATCH_STEPS,EGG_GROUP1,EGG_GROUP2,BASE_EXP,EFFORT_HP,EFFORT_ATK,EFFORT_DEF,EFFORT_SP_ATK,EFFORT_SP_DEF,EFFORT_SPD,EFFORT_TOTAL
109,1,1091,Koffing,Poison,,Purple,Levitate,Neutralizing Gas,Stench,1,0,0,0.6,1,40,65,95,60,45,35,340,190,20,5120,Amorphous,,68,0,0,1,0,0,0,1
110,1,1101,Weezing,Poison,,Purple,Levitate,Neutralizing Gas,Stench,1,0,0,1.2,9.5,65,90,120,85,70,60,490,60,20,5120,Amorphous,,172,0,0,2,0,0,0,2
110,2,1102,Weezing,Poison,Fairy,Grey,Levitate,Neutralizing Gas,Misty Surge,8,0,0,3,16,65,90,120,85,70,60,490,60,20,5120,Amorphous,,172,0,0,2,0,0,0,2
111,1,1111,Rhyhorn,Ground,Rock,Grey,Lightning Rod,Rock Head,Reckless,1,0,0,1,115,80,85,95,30,30,25,345,120,20,5120,Monster,Field,69,0,0,1,0,0,0,1
112,1,1121,Rhydon,Ground,Rock,Grey,Lightning Rod,Rock Head,Reckless,1,0,0,1.9,120,105,130,120,45,45,40,485,60,20,5120,Monster,Field,170,0,2,0,0,0,0,2
113,1,1131,Chansey,Normal,,Pink,Natural Cure,Serene Grace,Healer,1,0,0,1.1,34.6,250,5,5,35,105,50,450,30,40,10240,Fairy,,395,2,0,0,0,0,0,2
114,1,1141,Tangela,Grass,,Blue,Chlorophyll,Leaf Guard,Regenerator,1,0,0,1,35,65,55,115,100,40,60,435,45,20,5120,Grass,,87,0,0,1,0,0,0,1
115,1,1151,Kangaskhan,Normal,,Brown,Early Bird,Scrappy,Inner Focus,1,0,0,2.2,80,105,95,80,40,80,90,490,45,20,5120,Monster,,172,2,0,0,0,0,0,2
115,2,1152,Mega Kangaskhan,Normal,,Brown,Parental Bond,,,1,0,1,2.2,100,105,125,100,60,100,100,590,45,20,5120,Monster,,207,2,0,0,0,0,0,2
116,1,1161,Horsea,Water,,Blue,Swift Swim,Sniper,Damp,1,0,0,0.4,8,30,40,70,70,25,60,295,225,20,5120,Water1,Dragon,59,0,0,0,1,0,0,1
117,1,1171,Seadra,Water,,Blue,Poison Point,Sniper,Damp,1,0,0,1.2,25,55,65,95,95,45,85,440,75,20,5120,Water1,Dragon,154,0,0,1,1,0,0,2
118,1,1181,Goldeen,Water,,Red,Swift Swim,Water Veil,Lightning Rod,1,0,0,0.6,15,45,67,60,35,50,63,320,225,20,5120,Water2,,64,0,1,0,0,0,0,1
119,1,1191,Seaking,Water,,Red,Swift Swim,Water Veil,Lightning Rod,1,0,0,1.3,39,80,92,65,65,80,68,450,60,20,5120,Water2,,158,0,2,0,0,0,0,2
120,1,1201,Staryu,Water,,Brown,Illuminate,Natural Cure,Analytic,1,0,0,0.8,34.5,30,45,55,70,55,85,340,225,20,5120,Water3,,68,0,0,0,0,0,1,1
121,1,1211,Starmie,Water,Psychic,Purple,Illuminate,Natural Cure,Analytic,1,0,0,1.1,80,60,75,85,100,85,115,520,60,20,5120,Water3,,182,0,0,0,0,0,2,2
122,1,1221,Mr. Mime,Psychic,Fairy,Pink,Soundproof,Filter,Technician,1,0,0,1.3,54.5,40,45,65,100,120,90,460,45,25,6400,Human-Like,,161,0,0,0,0,2,0,2
122,2,1222,Mr. Mime,Psychic,Ice,White,Vital Spilit,Screen Cleaner,Ice Body,8,0,0,1.4,56.8,50,65,65,90,90,100,460,45,25,6400,Human-Like,,161,0,0,0,0,0,2,2
123,1,1231,Scyther,Bug,Flying,Green,Swarm,Technician,Steadfast,1,0,0,1.5,56,70,110,80,55,80,105,500,45,25,6400,Bug,,100,0,1,0,0,0,0,1
124,1,1241,Jynx,Ice,Psychic,Red,Oblivious,Forewarn,Dry Skin,1,0,0,1.4,40.6,65,50,35,115,95,95,455,45,25,6400,Human-Like,,159,0,0,0,2,0,0,2
125,1,1251,Electabuzz,Electric,,Yellow,Static,,Vital Spilit,1,0,0,1.1,30,65,83,57,95,85,105,490,45,25,6400,Human-Like,,172,0,0,0,0,0,2,2
126,1,1261,Magmar,Fire,,Red,Flame Body,,Vital Spilit,1,0,0,1.3,44.5,65,95,57,100,85,93,495,45,25,6400,Human-Like,,173,0,0,0,2,0,0,2
127,1,1271,Pinsir,Bug,,Brown,Hyper Cutter,Mold Breaker,Moxie,1,0,0,1.5,55,65,125,100,55,70,85,500,45,25,6400,Bug,,175,0,2,0,0,0,0,2
127,2,1272,Mega Pinsir,Bug,Flying,Brown,Aerilate,,,1,0,1,1.7,59,65,155,120,65,90,105,600,45,25,6400,Bug,,210,0,2,0,0,0,0,2
128,1,1281,Tauros,Normal,,Brown,Intimidate,Anger Point,Sheer Force,1,0,0,1.4,88.4,75,100,95,40,70,110,490,45,20,5120,Field,,172,0,1,0,0,0,1,2
129,1,1291,Magikarp,Water,,Red,Swift Swim,,Rattled,1,0,0,0.9,10,20,10,55,15,20,80,200,255,5,1280,Water2,Dragon,40,0,0,0,0,0,1,1
130,1,1301,Gyarados,Water,Flying,Blue,Intimidate,,Moxie,1,0,0,6.5,235,95,125,79,60,100,81,540,45,5,1280,Water2,Dragon,189,0,2,0,0,0,0,2
130,2,1302,Mega Gyarados,Water,Dark,Blue,Mold Breaker,,,1,0,1,6.5,305,95,155,109,70,130,81,640,45,5,1280,Water2,Dragon,224,0,2,0,0,0,0,2
131,1,1311,Lapras,Water,Ice,Blue,Water Absorb,Shell Armor,Hydration,1,0,0,2.5,220,130,85,80,85,95,60,535,45,40,10240,Monster,Water1,187,2,0,0,0,0,0,2
132,1,1321,Ditto,Normal,,Purple,Limber,,Imposter,1,0,0,0.3,4,48,48,48,48,48,48,288,35,20,5120,Ditto,,101,1,0,0,0,0,0,1
133,1,1331,Eevee,Normal,,Brown,Run Away,Adaptability,Anticipation,1,0,0,0.3,6.5,55,55,50,45,65,55,325,45,35,8960,Field,,65,0,0,0,0,1,0,1
134,1,1341,Vaporeon,Water,,Blue,Water Absorb,,Hydration,1,0,0,1,29,130,65,60,110,95,65,525,45,35,8960,Field,,184,2,0,0,0,0,0,2
135,1,1351,Jolteon,Electric,,Yellow,Volt Absorb,,Quick Feet,1,0,0,0.8,24.5,65,65,60,110,95,130,525,45,35,8960,Field,,184,0,0,0,0,0,2,2
136,1,1361,Flareon,Fire,,Red,Flash Fire,,Guts,1,0,0,0.9,25,65,130,60,95,110,65,525,45,35,8960,Field,,184,0,2,0,0,0,0,2
137,1,1371,Porygon,Normal,,Pink,Trace,Download,Analytic,1,0,0,0.8,36.5,65,60,70,85,75,40,395,45,20,5120,Mineral,,79,0,0,0,1,0,0,1
138,1,1381,Omanyte,Rock,Water,Blue,Swift Swim,Shell Armor,Weak Armor,1,0,0,0.4,7.5,35,40,100,90,55,35,355,45,30,7680,Water1,Water3,71,0,0,1,0,0,0,1
139,1,1391,Omastar,Rock,Water,Blue,Swift Swim,Shell Armor,Weak Armor,1,0,0,1,35,70,60,125,115,70,55,495,45,30,7680,Water1,Water3,173,0,0,2,0,0,0,2
140,1,1401,Kabuto,Rock,Water,Brown,Swift Swim,Battle Armor,Weak Armor,1,0,0,0.5,11.5,30,80,90,55,45,55,355,45,30,7680,Water1,Water3,71,0,0,1,0,0,0,1
141,1,1411,Kabutops,Rock,Water,Brown,Swift Swim,Battle Armor,Weak Armor,1,0,0,1.3,40.5,60,115,105,65,70,80,495,45,30,7680,Water1,Water3,173,0,2,0,0,0,0,2
142,1,1421,Aerodactyl,Rock,Flying,Purple,Rock Head,Pressure,Unnerve,1,0,0,1.8,59,80,105,65,60,75,130,515,45,35,8960,Flying,,180,0,0,0,0,0,2,2
142,2,1422,Mega Aerodactyl,Rock,Flying,Purple,Tough Claws,,,1,0,1,2.1,79,80,135,85,70,95,150,615,45,35,8960,Flying,,215,0,0,0,0,0,2,2
143,1,1431,Snorlax,Normal,,Black,Immunity,Thick Fat,Gluttony,1,0,0,2.1,460,160,110,65,65,110,30,540,25,40,10240,Monster,,189,2,0,0,0,0,0,2
144,1,1441,Articuno,Ice,Flying,Blue,Pressure,,Snow Cloak,1,1,0,1.7,55.4,90,85,100,95,125,85,580,3,80,20480,Undiscovered,,290,0,0,0,0,3,0,3
144,2,1442,Articuno,Psychic,Flying,Blue,Competitive,,,8,1,0,1.7,50.9,90,85,85,125,100,95,580,3,80,20480,Undiscovered,,290,0,0,0,3,0,0,3
145,1,1451,Zapdos,Electric,Flying,Yellow,Pressure,,Static,1,1,0,1.6,52.6,90,90,85,125,90,100,580,3,80,20480,Undiscovered,,290,0,0,0,3,0,0,3
145,2,1452,Zapdos,Fighting,Flying,Yellow,Defiant,,,8,1,0,1.6,58.2,90,125,90,85,90,100,580,3,80,20480,Undiscovered,,290,0,3,0,0,0,0,3
146,1,1461,Moltres,Fire,Flying,Yellow,Pressure,,Flame Body,1,1,0,2,60,90,100,90,125,85,90,580,3,80,20480,Undiscovered,,290,0,0,0,3,0,0,3
146,2,1462,Moltres,Dark,Flying,Yellow,Berserk,,,8,1,0,2,66,90,85,90,100,125,90,580,3,80,20480,Undiscovered,,290,0,0,0,0,3,0,3
147,1,1471,Dratini,Dragon,,Blue,Shed Skin,,Marvel Scale,1,0,0,1.8,3.3,41,64,45,50,50,50,300,45,40,10240,Water1,Dragon,60,0,1,0,0,0,0,1
148,1,1481,Dragonair,Dragon,,Blue,Shed Skin,,Marvel Scale,1,0,0,4,16.5,61,84,65,70,70,70,420,45,40,10240,Water1,Dragon,147,0,2,0,0,0,0,2
149,1,1491,Dragonite,Dragon,Flying,Brown,Inner Focus,,Multiscale,1,0,0,2.2,210,91,134,95,100,100,80,600,45,40,10240,Water1,Dragon,300,0,3,0,0,0,0,3
150,1,1501,Mewtwo,Psychic,,Purple,Pressure,,Unnerve,1,1,0,2,122,106,110,90,154,90,130,680,3,120,30720,Undiscovered,,340,0,0,0,3,0,0,3
150,2,1502,Mega Mewtwo X,Psychic,Fighting,Purple,Steadfast,,,1,1,1,2.3,127,106,190,100,154,100,130,780,3,120,30720,Undiscovered,,390,0,0,0,3,0,0,3
150,3,1503,Mega Mewtwo Y,Psychic,,Purple,Insomnia,,,1,1,1,1.5,33,106,150,70,194,120,140,780,3,120,30720,Undiscovered,,390,0,0,0,3,0,0,3
151,1,1511,Mew,Psychic,,Pink,Synchronize,,,1,1,0,0.4,4,100,100,100,100,100,100,600,45,120,30720,Undiscovered,,300,3,0,0,0,0,0,3
152,1,1521,Chikorita,Grass,,Green,Overgrow,,Leaf guard,2,0,0,0.9,6.4,45,49,65,49,65,45,318,45,20,5120,Monster,Grass,64,0,0,0,0,1,0,1
153,1,1531,Bayleef,Grass,,Green,Overgrow,,Leaf guard,2,0,0,1.2,15.8,60,62,80,63,80,60,405,45,20,5120,Monster,Grass,142,0,0,1,0,1,0,2
154,1,1541,Meganium,Grass,,Green,Overgrow,,Leaf guard,2,0,0,1.8,100.5,80,82,100,83,100,80,525,45,20,5120,Monster,Grass,263,0,0,1,0,2,0,3
155,1,1551,Cyndaquil,Fire,,Yellow,Blaze,,Flash Fire,2,0,0,0.5,7.9,39,52,43,60,50,65,309,45,20,5120,Field,,62,0,0,0,0,0,1,1
156,1,1561,Quilava,Fire,,Yellow,Blaze,,Flash Fire,2,0,0,0.9,19,58,64,58,80,65,80,405,45,20,5120,Field,,142,0,0,0,1,0,1,2
157,1,1571,Typhlosion,Fire,,Yellow,Blaze,,Flash Fire,2,0,0,1.7,79.5,78,84,78,109,85,100,534,45,20,5120,Field,,267,0,0,0,3,0,0,3
158,1,1581,Totodile,Water,,Blue,Torrent,,Sheer Force,2,0,0,0.6,9.5,50,65,64,44,48,43,314,45,20,5120,Monster,Water1,63,0,1,0,0,0,0,1
159,1,1591,Croconaw,Water,,Blue,Torrent,,Sheer Force,2,0,0,1.1,25,65,80,80,59,63,58,405,45,20,5120,Monster,Water1,142,0,1,1,0,0,0,2
160,1,1601,Feraligatr,Water,,Blue,Torrent,,Sheer Force,2,0,0,2.3,88.8,85,105,100,79,83,78,530,45,20,5120,Monster,Water1,265,0,2,1,0,0,0,3
161,1,1611,Sentret,Normal,,Brown,Run Away,Keen Eye,Frisk,2,0,0,0.8,6,35,46,34,35,45,20,215,255,15,3840,Field,,43,0,1,0,0,0,0,1
162,1,1621,Furret,Normal,,Brown,Run Away,Keen Eye,Frisk,2,0,0,1.8,32.5,85,76,64,45,55,90,415,90,15,3840,Field,,145,0,0,0,0,0,2,2
163,1,1631,Hoothoot,Normal,Flying,Brown,Insomnia,Keen Eye,Tinted Lens,2,0,0,0.7,21.2,60,30,30,36,56,50,262,255,15,3840,Flying,,52,1,0,0,0,0,0,1
164,1,1641,Noctowl,Normal,Flying,Brown,Insomnia,Keen Eye,Tinted Lens,2,0,0,1.6,40.8,100,50,50,86,96,70,452,90,15,3840,Flying,,158,2,0,0,0,0,0,2
165,1,1651,Ledyba,Bug,Flying,Red,Swarm,Early Bird,Rattled,2,0,0,1,10.8,40,20,30,40,80,55,265,255,15,3840,Bug,,53,0,0,0,0,1,0,1
166,1,1661,Ledian,Bug,Flying,Red,Swarm,Early Bird,Iron Fist,2,0,0,1.4,35.6,55,35,50,55,110,85,390,90,15,3840,Bug,,137,0,0,0,0,2,0,2
167,1,1671,Spinarak,Bug,Poison,Green,Swarm,Insomnia,Sniper,2,0,0,0.5,8.5,40,60,40,40,40,30,250,255,15,3840,Bug,,50,0,1,0,0,0,0,1
168,1,1681,Ariados,Bug,Poison,Red,Swarm,Insomnia,Sniper,2,0,0,1.1,33.5,70,90,70,60,70,40,400,90,15,3840,Bug,,140,0,2,0,0,0,0,2
169,1,1691,Crobat,Poison,Flying,Purple,Inner Focus,,Infiltrator,2,0,0,1.8,75,85,90,80,70,80,130,535,90,15,3840,Flying,,268,0,0,0,0,0,3,3
170,1,1701,Chinchou,Water,Electric,Blue,Volt Absorb,Illuminate,Water Absorb,2,0,0,0.5,12,75,38,38,56,56,67,330,190,20,5120,Water2,,66,1,0,0,0,0,0,1
171,1,1711,Lanturn,Water,Electric,Blue,Volt Absorb,Illuminate,Water Absorb,2,0,0,1.2,22.5,125,58,58,76,76,67,460,75,20,5120,Water2,,161,2,0,0,0,0,0,2
172,1,1721,Pichu,Electric,,Yellow,Static,,Lightning Rod,2,0,0,0.3,2,20,40,15,35,35,60,205,190,10,2560,Undiscovered,,41,0,0,0,0,0,1,1
173,1,1731,Cleffa,Fairy,,Pink,Cute Charm,Magic Guard,Friend Guard,2,0,0,0.3,3,50,25,28,45,55,15,218,150,10,2560,Undiscovered,,44,0,0,0,0,1,0,1
174,1,1741,Igglybuff,Normal,Fairy,Pink,Cute Charm,Competitive,Friend Guard,2,0,0,0.3,1,90,30,15,40,20,15,210,170,10,2560,Undiscovered,,42,1,0,0,0,0,0,1
175,1,1751,Togepi,Fairy,,White,Hustle,Serene Grace,Super Luck,2,0,0,0.3,1.5,35,20,65,40,65,20,245,190,10,2560,Undiscovered,,49,0,0,0,0,1,0,1
176,1,1761,Togetic,Fairy,Flying,White,Hustle,Serene Grace,Super Luck,2,0,0,0.6,3.2,55,40,85,80,105,40,405,75,10,2560,Flying,Fairy,142,0,0,0,0,2,0,2
177,1,1771,Natu,Psychic,Flying,Green,Synchronize,Early Bird,Magic Bounce,2,0,0,0.2,2,40,50,45,70,45,70,320,190,20,5120,Flying,,64,0,0,0,1,0,0,1
178,1,1781,Xatu,Psychic,Flying,Green,Synchronize,Early Bird,Magic Bounce,2,0,0,1.5,15,65,75,70,95,70,95,470,75,20,5120,Flying,,165,0,0,0,1,0,1,2
179,1,1791,Mareep,Electric,,White,Static,,Plus,2,0,0,0.6,7.8,55,40,40,65,45,35,280,235,20,5120,Monster,Field,56,0,0,0,1,0,0,1
180,1,1801,Flaaffy,Electric,,Pink,Static,,Plus,2,0,0,0.8,13.3,70,55,55,80,60,45,365,120,20,5120,Monster,Field,128,0,0,0,2,0,0,2
181,1,1811,Ampharos,Electric,,Yellow,Static,,Plus,2,0,0,1.4,61.5,90,75,85,115,90,55,510,45,20,5120,Monster,Field,255,0,0,0,3,0,0,3
181,2,1812,Mega Ampharos,Electric,Dragon,Yellow,Mold Breaker,,,2,0,1,1.4,61.5,90,95,105,165,110,45,610,45,20,5120,Monster,Field,305,0,0,0,3,0,0,3
182,1,1821,Bellossom,Grass,,Green,Chlorophyll,,Healer,2,0,0,0.4,5.8,75,80,95,90,100,50,490,45,20,5120,Grass,,245,0,0,0,0,3,0,3
183,1,1831,Marill,Water,Fairy,Blue,Thick Fat,Huge Power,Sap Sipper,2,0,0,0.4,8.5,70,20,50,20,50,40,250,190,10,2560,Water1,Fairy,88,2,0,0,0,0,0,2
184,1,1841,Azumarill,Water,Fairy,Blue,Thick Fat,Huge Power,Sap Sipper,2,0,0,0.8,28.5,100,50,80,60,80,50,420,75,10,2560,Water1,Fairy,210,3,0,0,0,0,0,3
185,1,1851,Sudowoodo,Rock,,Brown,Sturdy,Rock Head,Rattled,2,0,0,1.2,38,70,100,115,30,65,30,410,65,20,5120,Mineral,,144,0,0,2,0,0,0,2
186,1,1861,Politoed,Water,,Green,Water Absorb,Damp,Drizzle,2,0,0,1.1,33.9,90,75,75,90,100,70,500,45,20,5120,Water1,,250,0,0,0,0,3,0,3
187,1,1871,Hoppip,Grass,Flying,Pink,Chlorophyll,Leaf Guard,Infiltrator,2,0,0,0.4,0.5,35,35,40,35,55,50,250,255,20,5120,Fairy,Grass,50,0,0,0,0,1,0,1
188,1,1881,Skiploom,Grass,Flying,Green,Chlorophyll,Leaf Guard,Infiltrator,2,0,0,0.6,1,55,45,50,45,65,80,340,120,20,5120,Fairy,Grass,119,0,0,0,0,0,2,2
189,1,1891,Jumpluff,Grass,Flying,Blue,Chlorophyll,Leaf Guard,Infiltrator,2,0,0,0.6,3,75,55,70,55,95,110,460,45,20,5120,Fairy,Grass,230,0,0,0,0,0,3,3
190,1,1901,Aipom,Normal,,Purple,Run Away,Pickup,Skill Link,2,0,0,0.6,11.5,55,70,55,40,55,85,360,45,20,5120,Field,,72,0,0,0,0,0,1,1
191,1,1911,Sunkern,Grass,,Yellow,Chlorophyll,Solar Power,Early Bird,2,0,0,0.3,1.8,30,30,30,30,30,30,180,235,20,5120,Grass,,36,0,0,0,1,0,0,1
192,1,1921,Sunflora,Grass,,Yellow,Chlorophyll,Solar Power,Early Bird,2,0,0,0.8,8.5,75,75,55,105,85,30,425,120,20,5120,Grass,,149,0,0,0,2,0,0,2
193,1,1931,Yanma,Bug,Flying,Red,Speed Boost,Compound Eyes,Frisk,2,0,0,1.2,38,65,65,45,75,45,95,390,75,20,5120,Bug,,78,0,0,0,0,0,1,1
194,1,1941,Wooper,Water,Ground,Blue,Damp,Water Absorb,Unaware,2,0,0,0.4,8.5,55,45,45,25,25,15,210,255,20,5120,Water1,Field,42,1,0,0,0,0,0,1
195,1,1951,Quagsire,Water,Ground,Blue,Damp,Water Absorb,Unaware,2,0,0,1.4,75,95,85,85,65,65,35,430,90,20,5120,Water1,Field,151,2,0,0,0,0,0,2
196,1,1961,Espeon,Psychic,,Purple,Synchronize,,Magic Bounce,2,0,0,0.9,26.5,65,65,60,130,95,110,525,45,35,8960,Field,,184,0,0,0,2,0,0,2
197,1,1971,Umbreon,Dark,,Black,Synchronize,,Inner Focus,2,0,0,1,27,95,65,110,60,130,65,525,45,35,8960,Field,,184,0,0,0,0,2,0,2
198,1,1981,Murkrow,Dark,Flying,Black,Insomnia,Super Luck,Prankster,2,0,0,0.5,2.1,60,85,42,85,42,91,405,30,20,5120,Flying,,81,0,0,0,0,0,1,1
199,1,1991,Slowking,Water,Psychic,Pink,Oblivious,Super Luck,Regenerator,2,0,0,2,79.5,95,75,80,100,110,30,490,70,20,5120,Monster,Water1,172,0,0,0,0,2,0,2
199,2,1992,Slowking,Poison,Psychic,Pink,Curious Medicine,Own Tempo,Regenerator,8,0,0,1.8,79.5,95,65,80,110,110,30,490,70,20,5120,Monster,Water1,172,0,0,0,0,2,0,2
200,1,2001,Misdreavus,Ghost,,Grey,Levitate,,,2,0,0,0.7,1,60,60,60,85,85,85,435,45,25,6400,Amorphous,,87,0,0,0,0,1,0,1
201,1,2011,Unown,Psychic,,Black,Levitate,,,2,0,0,0.5,5,48,72,48,72,48,48,336,225,40,10240,Undiscovered,,118,0,1,0,1,0,0,2
202,1,2021,Wobbuffet,Psychic,,Blue,Shadow Tag,,Telepathy,2,0,0,1.3,28.5,190,33,58,33,58,33,405,45,20,5120,Amorphous,,142,2,0,0,0,0,0,2
203,1,2031,Girafarig,Normal,Psychic,Yellow,Inner Focus,Early Bird,Sap Sipper,2,0,0,1.5,41.5,70,80,65,90,65,85,455,60,20,5120,Field,,159,0,0,0,2,0,0,2
204,1,2041,Pineco,Bug,,Grey,Sturdy,,Overcoat,2,0,0,0.6,7.2,50,65,90,35,35,15,290,190,20,5120,Bug,,58,0,0,1,0,0,0,1
205,1,2051,Forretress,Bug,Steel,Purple,Sturdy,,Overcoat,2,0,0,1.2,125.8,75,90,140,60,60,40,465,75,20,5120,Bug,,163,0,0,2,0,0,0,2
206,1,2061,Dunsparce,Normal,,Yellow,Serene Grace,Run Away,Rattled,2,0,0,1.5,14,100,70,70,65,65,45,415,190,20,5120,Field,,145,1,0,0,0,0,0,1
207,1,2071,Gligar,Ground,Flying,Purple,Hyper Cutter,Sand Veil,Immunity,2,0,0,1.1,64.8,65,75,105,35,65,85,430,60,20,5120,Bug,,86,0,0,1,0,0,0,1
208,1,2081,Steelix,Steel,Ground,Grey,Rock Head,Sturdy,Sheer Force,2,0,0,9.2,400,75,85,200,55,65,30,510,25,25,6400,Mineral,,179,0,0,2,0,0,0,2
208,2,2082,Mega Steelix,Steel,Ground,Grey,Sand Force,,,2,0,1,10.5,740,75,125,230,55,95,30,610,25,25,6400,Mineral,,214,0,0,2,0,0,0,2
209,1,2091,Snubbull,Fairy,,Pink,Intimidate,Run Away,Rattled,2,0,0,0.6,7.8,60,80,50,40,40,30,300,190,20,5120,Field,Fairy,60,0,1,0,0,0,0,1
210,1,2101,Granbull,Fairy,,Purple,Intimidate,Quick Feet,Rattled,2,0,0,1.4,48.7,90,120,75,60,60,45,450,75,20,5120,Field,Fairy,158,0,2,0,0,0,0,2
211,1,2111,Qwilfish,Water,Poison,Grey,Poison Point,Swift Swim,Intimidate,2,0,0,0.5,3.9,65,95,85,55,55,85,440,45,20,5120,Water2,,88,0,1,0,0,0,0,1
212,1,2121,Scizor,Bug,Steel,Red,Swarm,Technician,Light Metal,2,0,0,1.8,118,70,130,100,55,80,65,500,25,25,6400,Bug,,175,0,2,0,0,0,0,2
212,2,2122,Mega Scizor,Bug,Steel,Red,Technician,,,2,0,1,2,125,70,150,140,65,100,75,600,25,25,6400,Bug,,210,0,2,0,0,0,0,2
213,1,2131,Shuckle,Bug,Rock,Yellow,Sturdy,Gluttony,Contrary,2,0,0,0.6,20.5,20,10,230,10,230,5,505,190,20,5120,Bug,,177,0,0,1,0,1,0,2
214,1,2141,Heracross,Bug,Fighting,Blue,Swarm,Guts,Moxie,2,0,0,1.5,54,80,125,75,40,95,85,500,45,25,6400,Bug,,175,0,2,0,0,0,0,2
214,2,2142,Mega Heracross,Bug,Fighting,Blue,Skill Link,,,2,0,1,1.7,62.5,80,185,115,40,105,75,600,45,25,6400,Bug,,210,0,2,0,0,0,0,2
215,1,2151,Sneasel,Dark,Ice,Black,Inner Focus,Keen Eye,Pickpocket,2,0,0,0.9,28,55,95,55,35,75,115,430,60,20,5120,Field,,86,0,0,0,0,0,1,1
216,1,2161,Teddiursa,Normal,,Brown,Pickup,Quick Feet,Honey Gather,2,0,0,0.6,8.8,60,80,50,50,50,40,330,120,20,5120,Field,,66,0,1,0,0,0,0,1
217,1,2171,Ursaring,Normal,,Brown,Guts,Quick Feet,Unnerve,2,0,0,1.8,125.8,90,130,75,75,75,55,500,60,20,5120,Field,,175,0,2,0,0,0,0,2
218,1,2181,Slugma,Fire,,Red,Magma Armor,Flame Body,Weak Armor,2,0,0,0.7,35,40,40,40,70,40,20,250,190,20,5120,Amorphous,,50,0,0,0,1,0,0,1
219,1,2191,Magcargo,Fire,Rock,Red,Magma Armor,Flame Body,Weak Armor,2,0,0,0.8,55,60,50,120,90,80,30,430,75,20,5120,Amorphous,,151,0,0,2,0,0,0,2
220,1,2201,Swinub,Ice,Ground,Brown,Oblivious,Snow Cloak,Thick Fat,2,0,0,0.4,6.5,50,50,40,30,30,50,250,225,20,5120,Field,,50,0,1,0,0,0,0,1
221,1,2211,Piloswine,Ice,Ground,Brown,Oblivious,Snow Cloak,Thick Fat,2,0,0,1.1,55.8,100,100,80,60,60,50,450,75,20,5120,Field,,158,1,1,0,0,0,0,2
222,1,2221,Corsola,Water,Rock,Pink,Hustle,Natural Cure,Regenerator,2,0,0,0.6,5,65,55,95,65,95,35,410,60,20,5120,Water1,Water3,144,0,0,1,0,1,0,2
222,2,2222,Corsola,Ghost,,White,Weak Armor,,Cursed Body,8,0,0,0.6,0.5,65,55,100,65,100,30,415,60,20,5120,Water1,Water3,144,0,0,0,0,1,0,1
223,1,2231,Remoraid,Water,,Grey,Hustle,Sniper,Moody,2,0,0,0.6,12,35,65,35,65,35,65,300,190,20,5120,Water1,Water2,60,0,0,0,1,0,0,1
224,1,2241,Octillery,Water,,Red,Suction Cups,Sniper,Moody,2,0,0,0.9,28.5,75,105,75,105,75,45,480,75,20,5120,Water1,Water2,168,0,1,0,1,0,0,2
225,1,2251,Delibird,Ice,Flying,Red,Vital Spilit,Hustle,Insomnia,2,0,0,0.9,16,45,55,45,65,45,75,330,45,20,5120,Water1,Field,116,0,0,0,0,0,1,1
226,1,2261,Mantine,Water,Flying,Purple,Swift Swim,Water Absorb,Water Veil,2,0,0,2.1,220,85,40,70,80,140,70,485,25,25,6400,Water1,,170,0,0,0,0,2,0,2
227,1,2271,Skarmory,Steel,Flying,Grey,Keen Eye,Sturdy,Weak Armor,2,0,0,1.7,50.5,65,80,140,40,70,70,465,25,25,6400,Flying,,163,0,0,2,0,0,0,2
228,1,2281,Houndour,Dark,Fire,Black,Early Bird,Flash Fire,Unnerve,2,0,0,0.6,10.8,45,60,30,80,50,65,330,120,20,5120,Field,,66,0,0,0,1,0,0,1
229,1,2291,Houndoom,Dark,Fire,Black,Early Bird,Flash Fire,Unnerve,2,0,0,1.4,35,75,90,50,110,80,95,500,45,20,5120,Field,,175,0,0,0,2,0,0,2
229,2,2292,Mega Houndoom,Dark,Fire,Black,Solar Power,,,2,0,1,1.9,49.5,75,90,90,140,90,115,600,45,20,5120,Field,,210,0,0,0,2,0,0,2
230,1,2301,Kingdra,Water,Dragon,Blue,Swift Swim,Sniper,Damp,2,0,0,1.8,152,75,95,95,95,95,85,540,45,20,5120,Water1,Dragon,270,0,1,0,1,1,0,3
231,1,2311,Phanpy,Ground,,Blue,Pickup,,Sand Veil,2,0,0,0.5,33.5,90,60,60,40,40,40,330,120,20,5120,Field,,66,1,0,0,0,0,0,1
232,1,2321,Donphan,Ground,,Grey,Sturdy,,Sand Veil,2,0,0,1.1,120,90,120,120,60,60,50,500,60,20,5120,Field,,175,0,1,1,0,0,0,2
233,1,2331,Porygon2,Normal,,Red,Trace,Download,Analytic,2,0,0,0.6,32.5,85,80,90,105,95,60,515,45,20,5120,Mineral,,180,0,0,0,2,0,0,2
